S,E,I,R,D,Isum,Rsum
5.84854e+07,1323,5258,7549,462,14571,7549
5.84852e+07,1302,5202,7841,480,14805,7841
5.84849e+07,1283,5145,8131,497,15036,8131
5.84847e+07,1265,5089,8417,515,15265,8417
5.84845e+07,1248,5032,8700,532,15491,8700
5.84843e+07,1232,4975,8979,549,15715,8979
5.8484e+07,1216,4918,9256,566,15936,9256
5.84838e+07,1201,4862,9529,583,16155,9529
5.84836e+07,1186,4806,9800,599,16371,9800
5.84834e+07,1172,4751,10067,616,16585,10067
5.84832e+07,1158,4696,10331,632,16796,10331
5.8483e+07,1144,4641,10592,648,17005,10592
5.84828e+07,1130,4587,10850,663,17211,10850
5.84826e+07,1117,4534,11105,679,17415,11105
5.84824e+07,1104,4481,11357,695,17617,11357
5.84822e+07,1091,4429,11606,710,17816,11606
5.8482e+07,1078,4378,11853,725,18013,11853
5.84818e+07,1065,4327,12096,740,18208,12096
5.84816e+07,1053,4276,12337,754,18400,12337
5.84814e+07,1041,4226,12574,769,18590,12574
5.84812e+07,1028,4177,12809,783,18778,12809
5.8481e+07,1016,4128,13042,798,18964,13042
5.84808e+07,1004,4080,13271,812,19148,13271
5.84807e+07,993,4033,13498,825,19329,13498
5.84805e+07,981,3986,13722,839,19508,13722
5.84803e+07,970,3939,13944,853,19686,13944
5.84801e+07,958,3893,14163,866,19861,14163
5.84799e+07,947,3848,14379,879,20034,14379
5.84798e+07,936,3803,14593,892,20205,14593
5.84796e+07,925,3759,14805,905,20374,14805
5.84794e+07,914,3715,15014,918,20541,15014
5.84793e+07,904,3672,15220,931,20706,15220
5.84791e+07,893,3629,15424,943,20870,15424
5.84789e+07,883,3586,15626,956,21031,15626
5.84788e+07,873,3545,15826,968,21190,15826
5.84786e+07,862,3503,16023,980,21348,16023
5.84785e+07,852,3462,16218,992,21504,16218
5.84783e+07,842,3422,16410,1003,21658,16410
5.84782e+07,832,3382,16600,1015,21810,16600
5.8478e+07,823,3343,16788,1027,21960,16788
5.84779e+07,813,3304,16974,1038,22109,16974
5.84777e+07,804,3265,17158,1049,22256,17158
5.84776e+07,794,3227,17339,1060,22401,17339
5.84774e+07,785,3189,17519,1071,22544,17519
5.84773e+07,776,3152,17696,1082,22686,17696
5.84772e+07,767,3115,17871,1093,22826,17871
5.8477e+07,758,3079,18045,1103,22965,18045
5.84769e+07,749,3043,18216,1114,23102,18216
5.84767e+07,740,3008,18385,1124,23237,18385
5.84766e+07,732,2973,18552,1134,23371,18552
5.84765e+07,723,2938,18717,1145,23503,18717
5.84763e+07,715,2904,18881,1155,23634,18881
5.84762e+07,706,2870,19042,1164,23763,19042
5.84761e+07,698,2836,19202,1174,23890,19202
5.8476e+07,690,2803,19360,1184,24016,19360
5.84758e+07,682,2770,19515,1193,24141,19515
5.84757e+07,674,2738,19669,1203,24264,19669
5.84756e+07,666,2706,19822,1212,24386,19822
5.84755e+07,658,2675,19972,1221,24506,19972
5.84754e+07,651,2643,20121,1230,24625,20121
5.84752e+07,643,2613,20268,1239,24743,20268
5.84751e+07,636,2582,20413,1248,24859,20413
5.8475e+07,628,2552,20557,1257,24974,20557
5.84749e+07,621,2522,20698,1266,25087,20698
5.84748e+07,614,2493,20839,1274,25199,20839
5.84747e+07,606,2464,20977,1283,25310,20977
5.84746e+07,599,2435,21114,1291,25420,21114
5.84745e+07,592,2406,21250,1299,25528,21250
5.84743e+07,585,2378,21383,1308,25635,21383
5.84742e+07,579,2351,21516,1316,25741,21516
5.84741e+07,572,2323,21646,1324,25845,21646
5.8474e+07,565,2296,21776,1332,25948,21776
5.84739e+07,559,2269,21903,1339,26051,21903
5.84738e+07,552,2243,22029,1347,26151,22029
5.84737e+07,546,2217,22154,1355,26251,22154
5.84736e+07,539,2191,22277,1362,26350,22277
5.84735e+07,533,2165,22399,1370,26447,22399
5.84734e+07,527,2140,22520,1377,26543,22520
5.84733e+07,521,2115,22639,1384,26639,22639
5.84732e+07,515,2090,22756,1392,26733,22756
5.84732e+07,509,2066,22872,1399,26826,22872
5.84731e+07,503,2042,22987,1406,26917,22987
5.8473e+07,497,2018,23101,1413,27008,23101
5.84729e+07,491,1994,23213,1419,27098,23213
5.84728e+07,485,1971,23324,1426,27187,23324
5.84727e+07,480,1948,23433,1433,27274,23433
5.84726e+07,474,1925,23542,1440,27361,23542
5.84725e+07,468,1903,23649,1446,27446,23649
